"binary","architecture","caller_function","caller_address","callsite","func","file","line","expression"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100047D0C","0x100047d0c","0x100047d74","Release","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/Ref.h","25","count >= 0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1000D0D9C","0x1000d0d9c","0x1000d0f70","NotifyBitmapCompleted","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/BitmapLayerTreeOwner.cpp","63","BitmapNI"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1000EB9D0","0x1000eb9d0","0x1000ebc70","CreateVariant","/Volumes/E/Projects/kirikiri2_ionb/kirikiri2/src/plugins/PSBFile.cpp","400","result->AsObjectNoAddRef()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1000EC980","0x1000ec980","0x1000ecafc","PropGetByNum","/Volumes/E/Projects/kirikiri2_onb/kirikiri2/src/plugins/PSBFile.cpp","613","result->AsObjectNoAddRef()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1000ECB10","0x1000ecb10","0x1000eccb0","PropGet","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/PSBFile.cpp","632","result->AsObjectNoAddRef()"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1000EFF74","0x1000eff74","0x1000f0064","ripted160_process","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/ripemd160.c","280","p != NULL && length >= 0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1000EFF74","0x1000eff74","0x1000f0084","ripemd160_process","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/ripemd160.c","283","self->bufpos < 64"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1000F0088","0x1000f0088","0x1000f05ec","ripemd160_compress","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/ripemd160.c","192","self->bufpos == 64"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1001CAFA4","0x1001cafa4","0x1001cb054","xp3Access","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/sqlite3/xp3_vfs.cpp","293","!""Invalid flags argument"""
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1001D11B4","0x1001d11b4","0x1001d1234","build_codes","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/AlphaMovie.cpp","306","nb + k <= 256"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1001D3130","0x1001d3130","0x1001d3240","DecodeFirstValue","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/AlphaMovie.cpp","460","s > 0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1001D3244","0x1001d3244","0x1001d33b8","DecodeAC","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/AlphaMovie.cpp","397","s > 0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_1001D3438","0x1001d3438","0x1001d34e0","Decode1","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/plugins/AlphaMovie.cpp","433","l <= 16"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100220B6C","0x100220b6c","0x100220d14","tTVPSoundBufferAL","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/sound/win32/WaveMixer.cpp","495","false"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100220B6C","0x100220b6c","0x100220d34","tTVPSoundBufferAL","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/sound/win32/WaveMixer.cpp","481","false"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100220B6C","0x100220b6c","0x100220d54","tTVPSoundBufferAL","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/sound/win32/WaveMixer.cpp","492","false"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10024EDAC","0x10024edac","0x10024eec4","round_int","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/MathUtils.h","46","x > static_cast<double>((int) (INT_MIN / 2)) - 1.0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10024EDAC","0x10024edac","0x10024eee4","round_int","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/MathUtils.h","47","x < static_cast<double>((int) (INT_MAX / 2)) + 1.0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10024EFEC","0x10024efec","0x10024f080","round_int","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/MathUtils.h","46","x > static_cast<double>((int) (INT_MIN / 2)) - 1.0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_10024EFEC","0x10024efec","0x10024f0a0","round_int","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/MathUtils.h","47","x < static_cast<double>((int) (INT_MAX / 2)) + 1.0"
"Kirikiroid2_1.3.9_iOS_arm64","arm64","sub_100262138","0x100262138","0x1002622c8","InitResample","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/AEFactory.cpp","90","swr_ctx && result >= 0"
