"func","file","line","expression","architectures","arm64_call_count","armv7_call_count","total_call_count"
"addLine","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/environ/ui/ConsoleWindow.cpp","24","TVPMainThreadID == std::this_thread::get_id()","arm64","1","0","1"
"operator+=","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/AEChannelInfo.cpp","195","m_channelCount < AE_CH_MAX","arm64","1","0","1"
"operator+=","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/AEChannelInfo.cpp","196","rhs > AE_CH_NULL && rhs < AE_CH_MAX","arm64","1","0","1"
"GetChName","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/AEChannelInfo.cpp","244","ch >= 0 && ch < AE_CH_MAX","arm64","2","0","2"
"InitResample","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/AEFactory.cpp","90","swr_ctx && result >= 0","arm64;armv7","1","1","2"
"GetFrontBuffer","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/KRMovieLayer.cpp","29","m_usedPicture >= 0","arm64;armv7","1","1","2"
"AddVideoPicture","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/KRMovieLayer.cpp","91","img_convert_ctx","arm64;armv7","1","1","2"
"PresentPicture","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/KRMoviePlayer.cpp","285","m_usedPicture >= 0","arm64","1","0","1"
"~MoviePlayerOverlay","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/KRMoviePlayer.cpp","337","std::this_thread::get_id() == TVPMainThreadID","arm64","1","0","1"
"round_int","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/MathUtils.h","46","x > static_cast<double>((int) (INT_MIN / 2)) - 1.0","arm64;armv7","5","5","10"
"round_int","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/MathUtils.h","47","x < static_cast<double>((int) (INT_MAX / 2)) + 1.0","arm64;armv7","5","5","10"
"Release","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/movie/ffmpeg/Ref.h","25","count >= 0","arm64;armv7","2","2","4"
"tTVPSoundBufferAL","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/sound/win32/WaveMixer.cpp","481","false","arm64;armv7","1","1","2"
"tTVPSoundBufferAL","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/sound/win32/WaveMixer.cpp","492","false","arm64;armv7","1","1","2"
"tTVPSoundBufferAL","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/sound/win32/WaveMixer.cpp","495","false","arm64;armv7","1","1","2"
"NotifyBitmapCompleted","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/Bitma
TreeOwner.cpp","63","BitmapNI","arm64;armv7","1","1","2"
"AssignBitmap","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/LayerBitmapIntf.cpp","4767","false","arm64","1","0","1"
"EncodeRgb4Bpp","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/pvrtc.cpp","749","bitmap.GetBitmapWidth() == bitmap.GetBitmapHeight()","arm64;armv7","1","1","2"
"EncodeRgb4Bpp","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/pvrtc.cpp","750","BitUtility::IsPowerOf2(bitmap.GetBitmapWidth())","arm64;armv7","1","1","2"
"EncodeRgba4Bpp","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/pvrtc.cpp","865","bitmap.GetBitmapWidth() == bitmap.GetBitmapHeight()","arm64;armv7","1","1","2"
"EncodeRgba4Bpp","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/pvrtc.cpp","866","BitUtility::IsPowerOf2(bitmap.GetBitmapWidth())","arm64;armv7","1","1","2"
"AsTarget","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/RenderManager_ogl.cpp","969","false","arm64;armv7","1","1","2"
"UpdateTextureData","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/RenderManager_ogl.cpp","1148","texinfo.Width <= GetMaxTextureWidth()","arm64;armv7","1","1","2"
"GetScanLineForWrite","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/RenderManager_ogl.cpp","1446","false","arm64;armv7","1","1","2"
"SetSize","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/RenderManager_ogl.cpp","1461","false","arm64;armv7","1","1","2"
"tTVPOGLTexture2D_mutatble","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/ogl/RenderManager_ogl.cpp","1483","sw == 1.f && sh == 1.f","arm64;armv7","1","1","2"
"Update","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","337","rc.left == 0 && rc.top == 0 && Format == format","arm64;armv7","1","1","2"
"SetPoint","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","347","false","arm64;armv7","1","1","2"
"GetScanLineForWrite","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","449","0","arm64;armv7","1","1","2"
"Update","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","454","0","arm64;armv7","1","1","2"
"DecompressLineData","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","629","n == blk.Length","arm64;armv7","1","1","2"
"DecompressLineData","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","745","n == blk.Length","arm64;armv7","1","1","2"
"Update","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","869","rc.left == 0","arm64;armv7","1","1","2"
"DoRender","/Volumes/E/Projects/kirikiri2_mob/kirikiri2/src/core/visual/RenderManager.cpp","953","_tar == _dst && rctar == rcdst","arm64;armv7","3","3","6"
