sequence	script_name	native_kind	android_arm64	android_armv7	ios_arm64	ios_armv7	registration_status	body_status	notes
1	<factory>	TYPED_VARIANT_FACTORY	wrapper=0x682FA0; setup=0x683528; registrar=0x67CEA8; publisher=inline; invoke=0x689CA4; construct=0x689D7C; allocate_variant_ctor=0x689E94; native_ctor=0x67B76C	wrapper=0x564E2C; setup=0x56506C; registrar=0x5612E8; publisher=0x561C18; invoke=0x56A280; construct=0x56A310; variant_prepare=0x56A3F4; native_ctor=0x560948	wrapper=0x1001B8CD0; setup=0x1001B8FB8; registrar=0x1001B5130; publisher=0x1001B5B20; invoke=0x1001C5F18; construct=0x1001C5FBC; variant_prepare=0x1001C60E0; native_ctor=0x1001B7FB0	wrapper=0x1B82B8; setup=0x1B8660; registrar=0x1B4DE0; publisher=0x1B5712; invoke=0x1C3158; construct=0x1C31C8; allocate_variant_ctor=0x1C3310; native_ctor=0x1B7788	EVIDENCED_4_4	FACTORY_EVIDENCED_4_4	one Variant; zero ordinary args rejected; one Void is empty-adaptor sentinel; surplus args ignored; attach failure destroys and deletes native
2	TimelinePlayFlagParallel	STATIC_CONSTANT	registrar=0x67CEA8; value=1	registrar=0x5612E8; value=1	registrar=0x1001B5130; value=1	registrar=0x1B4DE0; value=1	EVIDENCED_4_4	NOT_APPLICABLE_CONSTANT	TJS_STATICMEMBER integer
3	TimelinePlayFlagDifference	STATIC_CONSTANT	registrar=0x67CEA8; value=2	registrar=0x5612E8; value=2	registrar=0x1001B5130; value=2	registrar=0x1B4DE0; value=2	EVIDENCED_4_4	NOT_APPLICABLE_CONSTANT	TJS_STATICMEMBER integer
4	progress	METHOD	registrar=0x67CEA8; callback=0x67EC94	registrar=0x5612E8; callback=0x561D08	registrar=0x1001B5130; callback=0x1001B5C68	registrar=0x1B4DE0; callback=0x1B586C	EVIDENCED_4_4	IMPLEMENTED	Android armv7 callback was recovered as an independent 0x561D08..0x561D24 function
5	frameProgress	METHOD	registrar=0x67CEA8; callback=entry=0x67A3F8; containing_func=0x530E3C	registrar=0x5612E8; callback=0x55FEF0	registrar=0x1001B5130; callback=0x1001B4304	registrar=0x1B4DE0; callback=0x1B3E10	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine progress binding; Android arm64 entry is a distant function chunk
6	draw	METHOD	registrar=0x67CEA8; callback=0x67ECB0	registrar=0x5612E8; callback=0x561D38	registrar=0x1001B5130; callback=0x1001B5C84	registrar=0x1B4DE0; callback=0x1B5898	EVIDENCED_4_4	IMPLEMENTED	
7	initPhysics	METHOD	registrar=0x67CEA8; callback=0x67A8B0	registrar=0x5612E8; callback=0x560020	registrar=0x1001B5130; callback=0x1001B4468	registrar=0x1B4DE0; callback=0x1B3F58	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine applyMetadata binding
8	startWind	METHOD	registrar=0x67CEA8; callback=0x66DD8C	registrar=0x5612E8; callback=0x559900	registrar=0x1001B5130; callback=0x1001AC718	registrar=0x1B4DE0; callback=0x1ABF24	EVIDENCED_4_4	IMPLEMENTED	direct EmoteEngine setWind binding
9	stopWind	METHOD	registrar=0x67CEA8; callback=0x67EE18	registrar=0x5612E8; callback=0x561D90	registrar=0x1001B5130; callback=0x1001B5CD8	registrar=0x1B4DE0; callback=0x1B5944	EVIDENCED_4_4	IMPLEMENTED	
10	play	METHOD	registrar=0x67CEA8; callback=0x67C7EC	registrar=0x5612E8; callback=0x5610B0	registrar=0x1001B5130; callback=0x1001B5040	registrar=0x1B4DE0; callback=0x1B4CBC	EVIDENCED_4_4	IMPLEMENTED	
11	clear	METHOD	registrar=0x67CEA8; callback=0x67EE44	registrar=0x5612E8; callback=0x561DA8	registrar=0x1001B5130; callback=0x1001B5D04	registrar=0x1B4DE0; callback=0x1B595C	EVIDENCED_4_4	IMPLEMENTED	
