owner	sequence	script_name	native_kind	android_arm64	android_armv7	ios_arm64	ios_armv7	registration_status	body_status	evidence_report	notes
BezierPatch	1	affinePatch	ATTACHED_STATIC_METHOD	attach=0x6E627C; detach=0x6E630C; setup=0x6E6428; registrar=0x6A195C; callback=0x6A1D40	attach=0x5A51C0; detach=0x5A5244; setup=0x5A52C0; registrar=0x578C48; callback=0x578D90	attach=0x100136FA4; detach=0x10013700C; setup=0x100137068; registrar=0x1000FE1F0; callback=0x1000FE308	attach=0x136B9C; detach=0x136C50; setup=0x136D00; registrar=0xFB146; callback=0xFB244	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_bezierpatch_methods_geometry_inverse_four_binary_2026-08-27.md	stateless method attached directly to Layer; no script constructor or per-Layer native instance
BezierPatch	2	translatePatch	ATTACHED_STATIC_METHOD	registrar=0x6A195C; callback=0x6A2048	registrar=0x578C48; callback=0x578F28	registrar=0x1000FE1F0; callback=0x1000FE4B4	registrar=0xFB146; callback=0xFB450	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_bezierpatch_methods_geometry_inverse_four_binary_2026-08-27.md	stateless method attached directly to Layer; no script constructor or per-Layer native instance
BezierPatch	3	affineTranslatePatch	ATTACHED_STATIC_METHOD	registrar=0x6A195C; callback=0x6A2328	registrar=0x578C48; callback=0x5790B0	registrar=0x1000FE1F0; callback=0x1000FE640	registrar=0xFB146; callback=0xFB64C	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_bezierpatch_methods_geometry_inverse_four_binary_2026-08-27.md	stateless method attached directly to Layer; no script constructor or per-Layer native instance
BezierPatch	4	calcPatchBounds	ATTACHED_STATIC_METHOD	registrar=0x6A195C; callback=0x6A264C	registrar=0x578C48; callback=0x579258	registrar=0x1000FE1F0; callback=0x1000FE804	registrar=0xFB146; callback=0xFB868	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_bezierpatch_methods_geometry_inverse_four_binary_2026-08-27.md	stateless method attached directly to Layer; no script constructor or per-Layer native instance
BezierPatch	5	calcMeshBounds	ATTACHED_STATIC_METHOD	registrar=0x6A195C; callback=entry=0x6A2A04; containing_func=0x6A264C	registrar=0x578C48; callback=0x5794F8	registrar=0x1000FE1F0; callback=0x1000FEAB8	registrar=0xFB146; callback=0xFBBDC	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_bezierpatch_methods_geometry_inverse_four_binary_2026-08-27.md	Android arm64 callback is an internal entry in the calcPatchBounds/calcMeshBounds/calcBezierPatch combined function
BezierPatch	6	calcBezierPatch	ATTACHED_STATIC_METHOD	registrar=0x6A195C; callback=entry=0x6A2D6C; containing_func=0x6A264C	registrar=0x578C48; callback=0x5797A0	registrar=0x1000FE1F0; callback=0x1000FEE38	registrar=0xFB146; callback=0xFC014	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_bezierpatch_methods_geometry_inverse_four_binary_2026-08-27.md	Android arm64 callback is an internal entry in the calcPatchBounds/calcMeshBounds/calcBezierPatch combined function
BezierPatch	7	calcBezierPatchList	ATTACHED_STATIC_METHOD	registrar=0x6A195C; callback=0x6A3230	registrar=0x578C48; callback=0x579A18	registrar=0x1000FE1F0; callback=0x1000FF134	registrar=0xFB146; callback=0xFC360	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_bezierpatch_methods_geometry_inverse_four_binary_2026-08-27.md	stateless method attached directly to Layer; no script constructor or per-Layer native instance
BezierPatch	8	reverseCalcBezierPatch	ATTACHED_STATIC_METHOD	registrar=0x6A195C; callback=0x6A3874	registrar=0x578C48; callback=0x579D48	registrar=0x1000FE1F0; callback=0x1000FF508	registrar=0xFB146; callback=0xFC7A4	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_bezierpatch_methods_geometry_inverse_four_binary_2026-08-27.md	stateless method attached directly to Layer; no script constructor or per-Layer native instance
Circle	1	<constructor>	ZERO_ARG_CONSTRUCTOR	registrar=0x68E6E0; ctor_publish=inline	registrar=0x56E484; ctor_publish=0x56E52C	registrar=0x1000F08BC; ctor_publish=0x1000F099C	registrar=0xECADA; ctor_publish=0xECB94	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_geometry_default_constructors_four_binary_2026-08-26.md	
Circle	2	type	RO_PROPERTY	registrar=0x68E6E0; callback=0x68E628	registrar=0x56E484; callback=0x56E3FA	registrar=0x1000F08BC; callback=0x1000F08A4	registrar=0xECADA; callback=0xECABE	EVIDENCED_4_4	IMPLEMENTED	analysis/motionplayer_geometry_scalar_getters_four_binary_2026-08-26.md	
