ordinal	kind	member	local_macro	android_arm64_name	android_arm64_publish	android_arm64_callbacks_unordered_if_pair	android_armv7_name	android_armv7_publish	android_armv7_callbacks	ios_arm64_name	ios_arm64_publish	ios_arm64_callbacks	ios_armv7_name	ios_armv7_publish	ios_armv7_callbacks	registration_status	body_status
1	STATIC_RW_PROPERTY	defaultSyncActive	NCB_PROPERTY	0x14D6316	0x6D3EB4	0x6D67D8|0x6D67E4	0xD85C24	0x597F04	0x598D24|0x598D30	0x10195C98C	0x100124540	0x100125430|0x10012543C	0x174ECF0	0x123888	0x124626|0x124634	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
2	STATIC_RW_PROPERTY	defaultTransformOrder	NCB_PROPERTY	0x14D633A	0x6D3F2C	0x6ADD5C|0x6ADE94	0xD85C48	0x597F1E	0x57F4B8|0x57F54C	0x10195C9B0	0x100124564	0x100106564|0x1001066A8	0x174ED14	0x1238AE	0x103918|0x103A84	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
3	RO_PROPERTY	resourceManager	NCB_PROPERTY_RO	0x14D6366	0x6D3F98	0x6D67F4	0xD85C74	0x597F3A	0x598D3C	0x10195C9DC	0x10012458C	0x100125448	0x174ED40	0x1238D2	0x124642	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
4	RO_PROPERTY	lastTime	NCB_PROPERTY_RO	0x14D3A60	0x6D4004	0x6D6800	0xD844A2	0x597F54	0x598D50	0x10195C822	0x1001245B4	0x100125454	0x174EB86	0x1238F4	0x124650	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
5	RO_PROPERTY	loopTime	NCB_PROPERTY_RO	0x14D3ED6	0x6D4068	0x6D6828	0xD8488C	0x597F6E	0x598D88	0x10195C810	0x1001245DC	0x10012547C	0x174EB74	0x123916	0x124684	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
6	RO_PROPERTY	variableKeys	NCB_PROPERTY_RO	0x14D4056	0x6D40CC	0x6CE77C	0xD849FC	0x597F88	0x5948D0	0x10195C9FC	0x100124604	0x1001200B4	0x174ED60	0x123938	0x11EDC0	EVIDENCED_4_4	IMPLEMENTED
7	RW_PROPERTY	chara	NCB_PROPERTY	0x14D3DB4	0x6D414C	0x6BE27C|0x6D6850	0xD8474E	0x597FA6	0x598DC0|0x58A484	0x10195C1C0	0x100124630	0x1001254A4|0x1001138D8	0x174E524	0x123962	0x1246B8|0x1112E4	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
8	RW_PROPERTY	stealthChara	NCB_PROPERTY	0x14D6386	0x6D41C4	0x6D6890|0x6D6870	0xD85C94	0x597FC4	0x598DE0|0x598E00	0x10195CA16	0x10012465C	0x1001254C4|0x1001254E4	0x174ED7A	0x12398C	0x1246D8|0x1246F8	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
9	RW_PROPERTY	motion	NCB_PROPERTY	0x14D3DC0	0x6D423C	0x6BEF00|0x6D6924	0xD8475A	0x597FE2	0x598E08|0x58AD8C	0x10195B406	0x100124688	0x1001254F4|0x1001143D0	0x174D76A	0x1239B6	0x124700|0x111E00	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
10	RW_PROPERTY	stealthMotion	NCB_PROPERTY	0x14D63A0	0x6D42B4	0x6D6944|0x6D6964	0xD85CAE	0x598000	0x598E28|0x598E48	0x10195CA30	0x1001246B4	0x100125514|0x100125534	0x174ED94	0x1239E0	0x124720|0x124740	EVIDENCED_4_4	OUT_OF_SCOPE_FOR_SURFACE_SLICE
