lane	commit_or_worktree	case_or_step	status	frames_or_result	digest_or_hash	evidence	remaining_gap
adb_oracle	5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	m2logo	PASS_CAPTURE	25 frames 843 layer snapshots	49937cd9cd1ac2c42881e05b09d069a37d04c52f2a296b14983bc70fb550e65f	GitHub artifact 9608002821 archive digest verified and normalized JSON schema checked	None for the immutable reference-oracle lane
adb_oracle	5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	yuzulogo	PASS_CAPTURE	63 frames 1575 layer snapshots	ae61b8ca60d004a3ce8cce63b2ec78629db2ab6c787b1febd28e1199bd243113	GitHub artifact 9608002821 archive digest verified and normalized JSON schema checked	None for the immutable reference-oracle lane
adb_oracle_archive	5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	motion_playback-oracle-traces	PASS_DIGEST	2 files 88 frames	aab64d950c7f31a35f42187a6b8b8e6531f5ab15491de45427cebb9c1f725d12	GitHub API artifact metadata and downloaded ZIP agree exactly	None
wasmtime_current	current worktree based on 5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	m2logo	PASS_COMPARE	25 frames 843 layer snapshots	3a9f49233b9cc164058cba4ad207885db100896b08a82abd264ef37fa053ad72	tests/differential/artifacts/motion_playback_wasmtime_traces_20260829_v2/m2logo.port.json; independent comparator zero mismatches	None
wasmtime_current	current worktree based on 5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	yuzulogo	PASS_COMPARE	63 frames 1575 layer snapshots	23600a0ac9ad285c44220172acfc1cc18313875acff93f612de92d440e770d6a	tests/differential/artifacts/motion_playback_wasmtime_traces_20260829_v2/yuzulogo.port.json; independent comparator zero mismatches	None
wasmtime_guest	current worktree based on 5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	krkr2_wasmtime_guest.wasm	PASS_BUILD	Emscripten full guest rebuilt with uv CPython 3.11	8e86bc31b8b8f3f62272131fd907aff78b27227a05b294412406eafe0f488faf	out/wasmtime/debug/krkr2_wasmtime_guest.wasm	None
native_current	current worktree based on 5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	m2logo	PASS_COMPARE	25 frames 843 layer snapshots	668ef04a06cdb610df068e36566af4921bfffa2ed47fe28cb065e9cee16a1c3d	tests/differential/artifacts/motion_playback_native_20260829_v2/m2logo.port.json; delivery-boundary LLDB trace and independent comparator zero mismatches	None
native_current	current worktree based on 5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	yuzulogo	PASS_COMPARE	63 frames 1575 layer snapshots	5aa3645cbc2282918e029c2e4f70b1e2efe2fe65bb51dc0277d11454fc6a379e	tests/differential/artifacts/motion_playback_native_20260829_v2/yuzulogo.port.json; delivery-boundary LLDB trace and independent comparator zero mismatches	None
native_runner	current worktree based on 5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	motion_playback_native	PASS_BUILD	fresh MacOS Debug target	3d796520012cc7699c105184b14b6a98421ac97a2aa35b092d2f3c060b31d787	out/macos/debug/tests/differential/native/motion_playback_native	None
fixture	immutable input	logo_test_oracle_m2logo_15hz.xp3	PASS_DIGEST	15 Hz case fixture	704729939ceabc2d93388cdc8b980bfd79506bedf660d0911c3dd13e9f78cb94	reference/xp3/logo_test_oracle_m2logo_15hz.xp3	None
fixture	immutable input	logo_test_oracle_yuzulogo_15hz.xp3	PASS_DIGEST	15 Hz case fixture	038bab92728c80e917ed55224aa8c96cc04474d112d8a0e42730d908acd7e3df	reference/xp3/logo_test_oracle_yuzulogo_15hz.xp3	None
