scope	commit_or_worktree	case	status	observation	evidence	artifact_digest_or_path	remaining_gap
active_workflow	e80398a2 run 33206772913	m2logo plus yuzulogo	CORRECTED_TRACE_FLATTEN_ONLY	adb-frida base runtime and normalized oracle recording succeed; the later render_path step fails before artifact creation	job 98969852903 reports Kirikiroid2 1.3.9 supports only trace_flatten and lists seven unrebased stages	.github/workflows/differential.yml	Render-stage offsets must be independently rebased to 1.3.9 before paired render comparison can return
wasmtime_render	current worktree based on 5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	m2logo	PASS_ARTIFACT_AUDIT	25 trace frames; 464 stage events; 50 decoded 1920x1080 PNGs; draw/prepare/commands non-empty	Manifest/event/image audit returned zero errors; playback comparator also passes	tests/differential/artifacts/motion_playback_render_stages_wasmtime_20260829_v2	None on Wasmtime side
wasmtime_render	current worktree based on 5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	yuzulogo	PASS_ARTIFACT_AUDIT	63 trace frames; 1008 stage events; 126 decoded 1920x1080 PNGs; draw/prepare/commands non-empty	Manifest/event/image audit returned zero errors; playback comparator also passes	tests/differential/artifacts/motion_playback_render_stages_wasmtime_20260829_v2	None on Wasmtime side
wasmtime_manifest	current worktree based on 5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	combined	PASS_DIGEST	2 cases; 88 trace frames; 1472 events; 176 PNGs	All referenced PNG byte counts dimensions and decoded RGBA SHA-256 values agree; all event envelopes summaries and frame ranges agree	7855146efdf61fe7d5c94e52edc2de3099e7165e5850f526a36b0821190c0642	None
draw_dispatch	current worktree based on 5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	m2logo plus yuzulogo	PASS_CAPTURE	352 events total; 88 draw_enter 88 draw_leave 176 draw_step; route separate_layer_adaptor	Per-case draw_dispatch JSON has continuous frame ids and complete drawPath payloads	events/draw_dispatch/*.wasmtime.json	Needs Android partner only for cross-lane semantic compare
render_prepare	current worktree based on 5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	m2logo plus yuzulogo	PASS_CAPTURE	352 events total; four expected kinds per frame	Per-case kind sequence includes prepare enter/leave and apply-projection enter/leave	events/render_prepare/*.wasmtime.json	Needs Android partner only for cross-lane semantic compare
render_commands	current worktree based on 5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	m2logo plus yuzulogo	PASS_CAPTURE	416 events total; build command and recursive build-item boundaries populated	Per-case event summaries and semantic payload schema validated	events/render_commands/*.wasmtime.json	Needs Android partner only for cross-lane semantic compare
github_android_render	a514c6889f18a306789eef1fe6c32a1bc92f6479 run 540	m2logo plus yuzulogo	PASS_15HZ_ARTIFACT_METADATA	Same two hash-pinned 15 Hz fixtures; Android render_path artifact uploaded successfully	Workflow pins fixture hashes forces Redroid 15 FPS and runs run_motion_stage_oracle.py --stage render_path	artifact 9066479201 digest a73082f0795c9a83a756ed00dbfd8718de78e5313e4b988d79ff25b4f4e7017b	Authenticated ZIP download and schema comparison to current worktree still required
github_wasmtime_render	a514c6889f18a306789eef1fe6c32a1bc92f6479 run 540	m2logo plus yuzulogo	PASS_15HZ_ARTIFACT_METADATA	Contemporaneous Wasmtime render-stage partner uploaded successfully	Same workflow uses the identical two fixture hashes and timing test	artifact 9066827131 digest 9cd60bd4e4ba029ee0e5c28aac98349e934b19c8cf2092c32088ab2b7529cf04	Earlier port commit; not substituted for current worktree capture
github_render_compare	a514c6889f18a306789eef1fe6c32a1bc92f6479 run 540	m2logo plus yuzulogo	PASS_CONTEMPORANEOUS_RENDER_STEP	Compare fresh motion_playback traces and PNG hashes step succeeded; workflow fails if render-step comparator is nonzero	GitHub compare job 93489361442	artifact 9066864147 digest ce2aacdf1f5ad3a72acbcf422ef10be4286f80eff35175e21b043b38abe856de	That workflow did not call compare_motion_draw_dispatch.py
android_render	latest public Differential run 550 commit 5cc45b36c8ea64aa7ef710846ffc956efe02c3e9	m2logo plus yuzulogo	EVIDENCE_BLOCKED	No Android render-stage artifact exists in the latest baseline run; artifact API lists only playback oracle traces record logs and libharness	GitHub Actions run 32971807749 artifact inventory rechecked 2026-08-29	https://github.com/fenghengzhi/kirikiroid2-web/actions/runs/32971807749	Use authenticated run 540 artifact after schema validation or rerun the current pipeline
local_android_environment	2026-08-29 local audit	m2logo plus yuzulogo	EVIDENCE_BLOCKED	No adb emulator Docker repository APK prebuilt harness or frida-server; Mountain Duck APK is 32304636-byte dataless placeholder with zero blocks and a stuck provider download	command/path/stat/File Provider evaluation audit	Mountain Duck item m4sohTykld9v	External provider/device state must change; no historical or self-compare is promoted
historical_render	46c0c10c061353539a01916e6f622d4b5e9b73e8	m2logo	FAIL_NONCURRENT	93 frames with 55 execute_post image hash mismatches first at frame 0	Contemporaneous compare report from run 26676943270	efc8587c2b44dcd013c2809d023a1dd189663d7b07fbf273bc7bf12352d9ce7f	Diagnostic only; old 60 Hz result is not current evidence
historical_render	46c0c10c061353539a01916e6f622d4b5e9b73e8	yuzulogo	PASS_NONCURRENT	243 frames passed historical render-step comparator	Contemporaneous compare report from run 26676943270	efc8587c2b44dcd013c2809d023a1dd189663d7b07fbf273bc7bf12352d9ce7f	Diagnostic only; old 60 Hz result is not current evidence
